Beam_Name,Applied Force Vertical,Applied Force Horizontal,Length,Gamma_M,Steel Class
350  x  350 x 6,65,44,8,1.15,355
,,,,,
400  x  400 x 10,26,51,14,1.15,355
,,,,,
400  x  300 x 14.2,69,43,13,1.15,355
,,,,,
400  x  400 x 8,37,18,15,1.15,355
,,,,,
120  x  80 x 3.6,71,38,1,1.15,355
,,,,,
250  x  250 x 6,33,54,5,1.15,355
,,,,,
350  x  150 x 5,56,13,6,1.15,355
,,,,,
400  x  300 x 17.5,61,31,15,1.15,355
,,,,,
400  x  400 x 6,28,14,15,1.15,355
,,,,,
300  x  300 x 8,4,43,9,1.15,355
,,,,,
400  x  400 x 12,100,85,11,1.15,355
,,,,,
200  x  200 x 6,22,14,6,1.15,355
,,,,,
500  x  200 x 12.5,56,3,15,1.15,355
,,,,,
400  x  200 x 6.3,61,9,8,1.15,355
,,,,,
350  x  250 x 6.3,55,8,8,1.15,355
,,,,,
300  x  300 x 6,82,80,5,1.15,355
,,,,,
500  x  300 x 8,54,14,15,1.15,355
,,,,,
300  x  300 x 8,78,88,6,1.15,355
,,,,,
180  x  180 x 10,33,32,5,1.15,355
,,,,,
500  x  300 x 17.5,94,46,15,1.15,355
,,,,,
500  x  300 x 8,23,6,22,1.15,355
,,,,,
400  x  200 x 8,98,35,7,1.15,355
,,,,,
400  x  400 x 10,46,31,15,1.15,355
,,,,,
100  x  100 x 4,62,61,1,1.15,355
,,,,,
500  x  200 x 10,80,3,12,1.15,355
,,,,,
160  x  160 x  5,75,59,2,1.15,355
,,,,,
400  x  400 x 12,80,76,12,1.15,355
,,,,,
180  x  180 x 6.3,49,64,3,1.15,355
,,,,,
350  x  350 x 8,78,81,8,1.15,355
,,,,,
160  x  160 x 6,38,40,3,1.15,355
,,,,,
350  x  150 x 6.3,23,2,10,1.15,355
,,,,,
300  x  300 x 6,70,56,6,1.15,355
,,,,,
400  x  200 x 8,76,19,8,1.15,355
,,,,,
50  x  50 x 2.5,2,4,1,1.15,355
,,,,,
300  x  300 x 8,31,28,10,1.15,355
,,,,,
250  x  150 x 8,68,40,4,1.15,355
,,,,,
400  x  400 x 8,91,99,9,1.15,355
,,,,,
300  x  300 x 8,7,10,18,1.15,355
,,,,,
500  x  300 x 12.5,62,9,17,1.15,355
,,,,,
350  x  350 x 8,35,69,9,1.15,355
,,,,,
400  x  400 x 8,84,73,10,1.15,355
,,,,,
400  x  400 x 10,20,12,22,1.15,355
,,,,,
200  x  200 x 6,20,20,6,1.15,355
,,,,,
400  x  400 x 10,50,62,13,1.15,355
,,,,,
450  x  250 x 8,77,5,10,1.15,355
,,,,,
400  x  400 x 10,64,82,11,1.15,355
,,,,,
500  x  300 x 17.5,96,15,16,1.15,355
,,,,,
400  x  400 x 10,74,48,11,1.15,355
,,,,,
120  x  120 x 4,92,68,1,1.15,355
,,,,,
400  x  400 x 12,34,60,14,1.15,355
,,,,,
300  x  200 x 5,60,19,5,1.15,355
,,,,,
500  x  300 x 8,37,12,17,1.15,355
,,,,,
500  x  300 x 8,61,15,14,1.15,355
,,,,,
200  x  100 x 5,41,3,3,1.15,355
,,,,,
120  x  120 x 3,14,16,2,1.15,355
,,,,,
300  x  300 x 6,45,15,7,1.15,355
,,,,,
400  x  400 x 6,22,9,17,1.15,355
,,,,,
200  x  200 x 10,3,4,16,1.15,355
,,,,,
400  x  400 x 6,26,31,14,1.15,355
,,,,,
500  x  200 x 14.2,80,4,14,1.15,355
,,,,,
350  x  350 x 6,49,29,9,1.15,355
,,,,,
250  x  250 x 6,43,99,4,1.15,355
,,,,,
350  x  350 x 8,73,83,8,1.15,355
,,,,,
400  x  400 x 8,32,92,9,1.15,355
,,,,,
400  x  400 x 12,24,76,12,1.15,355
,,,,,
300  x  300 x 8,14,59,7,1.15,355
,,,,,
160  x  160 x 4,29,61,2,1.15,355
,,,,,
300  x  300 x 8,29,94,6,1.15,355
,,,,,
300  x  300 x 8,59,56,7,1.15,355
,,,,,
400  x  400 x 8,58,60,11,1.15,355
,,,,,
400  x  400 x 6,66,37,10,1.15,355
,,,,,
400  x  400 x 12,17,91,11,1.15,355
,,,,,
400  x  400 x 6,22,63,10,1.15,355
,,,,,
160  x  80 x 4,33,5,2,1.15,355
,,,,,
400  x  400 x 8,100,60,9,1.15,355
,,,,,
250  x  250 x 6,79,76,4,1.15,355
,,,,,
250  x  250 x 8,21,74,5,1.15,355
,,,,,
400  x  400 x 12,23,79,12,1.15,355
,,,,,
200  x  200 x 8,11,25,6,1.15,355
,,,,,
500  x  300 x 8,79,43,11,1.15,355
,,,,,
350  x  250 x 6.3,60,42,7,1.15,355
,,,,,
500  x  300 x 12.5,91,6,14,1.15,355
,,,,,
400  x  400 x 8,7,17,21,1.15,355
,,,,,
250  x  250 x 6,44,56,5,1.15,355
,,,,,
120  x  60 x 5,82,9,1,1.15,355
,,,,,
400  x  400 x 8,46,97,9,1.15,355
,,,,,
400  x  300 x 17.5,69,46,14,1.15,355
,,,,,
120  x  120 x 3,16,73,1,1.15,355
,,,,,
200  x  200 x 6,30,46,4,1.15,355
,,,,,
400  x  400 x 12,10,35,18,1.15,355
,,,,,
500  x  300 x 16,88,35,16,1.15,355
,,,,,
120  x  80 x 5,91,17,1,1.15,355
,,,,,
300  x  200 x 5,94,39,4,1.15,355
,,,,,
350  x  350 x 8,8,36,12,1.15,355
,,,,,
250  x  250 x 6,4,15,10,1.15,355
,,,,,
500  x  300 x 17.5,81,11,17,1.15,355
,,,,,
400  x  400 x 10,36,40,15,1.15,355
,,,,,
350  x  350 x 6,65,25,8,1.15,355
,,,,,
120  x  120 x 3,4,20,2,1.15,355
,,,,,
140  x  140 x 4,20,38,2,1.15,355
,,,,,
350  x  350 x 6,32,65,8,1.15,355
,,,,,
200  x  200 x 8,87,95,3,1.15,355
