Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
SHS,25  x  25 x 2,1.36,25,25,2,2,,,9.5,,1.48,1.48,,,1.19,1.19,1.47,1.47,,,,,1.74
SHS,25  x  25 x 2.5,1.64,25,25,2.5,2.5,,,7,,1.69,1.69,,,1.35,1.35,1.71,1.71,,,,,2.09
SHS,30  x  30 x 2,1.68,30,30,2,2,,,12,,2.72,2.72,,,1.81,1.81,2.21,2.21,,,,,2.14
SHS,30  x  30 x 2,2.03,30,30,2.5,2.5,,,9,,3.16,3.16,,,2.1,2.1,2.61,2.61,,,,,2.59
SHS,30  x  30 x 3,2.36,30,30,3,3,,,7,,3.5,3.5,,,2.34,2.34,2.96,2.96,,,,,3.01
SHS,40  x  40 x 2,2.31,40,40,2,2,,,17,,6.94,6.94,,,3.47,3.47,4.13,4.13,,,,,2.94
SHS,40  x  40 x 2.5,2.82,40,40,2.5,2.5,,,13,,8.22,8.22,,,4.11,4.11,4.97,4.97,,,,,3.59
SHS,40  x  40 x 3,3.3,40,40,3,3,,,10.3,,9.32,9.32,,,4.66,4.66,5.72,5.72,,,,,4.21
SHS,40  x  40 x 4,4.2,40,40,4,4,,,7,,11.1,11.1,,,5.54,5.54,7.01,7.01,,,,,5.35
SHS,50  x  50 x 2.5,3.6,50,50,2.5,2.5,,,17,,16.9,16.9,,,6.78,6.78,8.07,8.07,,,,,4.59
SHS,50  x  50 x 3,4.25,50,50,3,3,,,13.7,,19.5,19.5,,,7.79,7.79,9.39,9.39,,,,,5.41
SHS,50  x  50 x 4,5.45,50,50,4,4,,,9.5,,23.7,23.7,,,9.49,9.49,11.7,11.7,,,,,6.95
SHS,50  x  50 x 5,6.56,50,50,5,5,,,7,,27,27,,,10.8,10.8,13.7,13.7,,,,,8.36
SHS,60  x  60 x 3,5.19,60,60,3,3,,,17,,35.1,35.1,,,11.7,11.7,14,14,,,,,6.61
SHS,60  x  60 x 4,6.71,60,60,4,4,,,12,,43.6,43.6,,,14.5,14.5,17.6,17.6,,,,,8.55
SHS,60  x  60 x 5,8.13,60,60,5,5,,,9,,50.5,50.5,,,16.8,16.8,20.9,20.9,,,,,10.4
SHS,60  x  60 x 6,9.45,60,60,6,6,,,7,,56.1,56.1,,,18.7,18.7,23.7,23.7,,,,,12
SHS,70  x  70 x 3,6.13,70,70,3,3,,,20.3,,57.5,57.5,,,16.4,16.4,19.4,19.4,,,,,7.81
SHS,70  x  70 x 3.5,7.06,70,70,3.5,3.5,,,17,,65.1,65.1,,,18.6,18.6,22.2,22.2,,,,,8.99
SHS,70  x  70 x 4,7.97,70,70,4,4,,,14.5,,72.1,72.1,,,20.6,20.6,24.8,24.8,,,,,10.1
SHS,70  x  70 x 5,9.7,70,70,5,5,,,11,,84.6,84.6,,,24.2,24.2,29.6,29.6,,,,,12.4
SHS,70  x  70 x 6,11.3,70,70,6,6,,,8.67,,95.2,95.2,,,27.2,27.2,33.8,33.8,,,,,14.4
SHS,80  x  80 x 3,7.07,80,80,3,3,,,23.7,,87.8,87.8,,,22,22,25.8,25.8,,,,,9.01
SHS,80  x  80 x 3.5,8.16,80,80,3.5,3.5,,,19.9,,99.8,99.8,,,25,25,29.5,29.5,,,,,10.4
SHS,80  x  80 x 4,9.22,80,80,4,4,,,17,,111,111,,,27.8,27.8,33.1,33.1,,,,,11.7
SHS,80  x  80 x 5,11.3,80,80,5,5,,,13,,131,131,,,32.9,32.9,39.7,39.7,,,,,14.4
SHS,80  x  80 x 6,13.2,80,80,6,6,,,10.3,,149,149,,,37.3,37.3,45.8,45.8,,,,,16.8
SHS,90  x  90 x 3,8.01,90,90,3,3,,,27,,127,127,,,28.3,28.3,33,33,,,,,10.2
SHS,90  x  90 x 3.5,9.26,90,90,3.5,3.5,,,22.7,,145,145,,,32.2,32.2,37.9,37.9,,,,,11.8
SHS,90  x  90 x 4,10.5,90,90,4,4,,,19.5,,162,162,,,36,36,42.6,42.6,,,,,13.3
SHS,90  x  90 x 5,12.8,90,90,5,5,,,15,,193,193,,,42.9,42.9,51.4,51.4,,,,,16.4
SHS,90  x  90 x 6,15.1,100,100,6,6,,,12,,220,220,,,49,49,59.5,59.5,,,,,19.2
SHS,100  x  100 x 3,8.96,100,100,3,3,,,30.3,,177,177,,,35.4,35.4,41.2,41.2,,,,,11.4
SHS,100  x  100 x 4,11.7,100,100,4,4,,,22,,226,226,,,45.3,45.3,53.3,53.3,,,,,14.9
SHS,100  x  100 x 5,14.4,100,100,5,5,,,17,,271,271,,,54.2,54.2,64.6,64.6,,,,,18.4
SHS,100  x  100 x 6,17,100,100,6,6,,,13.7,,311,311,,,62.3,62.3,75.1,75.1,,,,,21.6
SHS,100  x  100 x 8,21.4,100,100,8,8,,,9.5,,366,366,,,73.2,73.2,91.1,91.1,,,,,27.2
SHS,120  x  120 x 3,10.8,120,120,3,3,,,37,,312,312,,,52.1,52.1,60.2,60.2,,,,,13.8
SHS,120  x  120 x 4,14.2,120,120,4,4,,,27,,402,402,,,67,67,78.3,78.3,,,,,18.1
SHS,120  x  120 x 5,17.5,120,120,5,5,,,21,,485,485,,,80.9,80.9,95.4,95.4,,,,,22.4
SHS,120  x  120 x 6,20.7,120,120,6,6,,,17,,562,562,,,93.7,93.7,112,112,,,,,26.4
SHS,120  x  120 x 8,26.4,120,120,8,8,,,12,,677,677,,,113,113,138,138,,,,,33.6
SHS,120  x  120 x 10,31.8,120,120,10,10,,,9,,777,777,,,129,129,162,162,,,,,40.6
SHS,140  x  140 x 4,16.8,140,140,4,4,,,32,,652,652,,,93.1,93.1,108,108,,,,,21.3
SHS,140  x  140 x 5,20.7,140,140,5,5,,,25,,791,791,,,113,113,132,132,,,,,26.4
SHS,140  x  140 x 6,24.5,140,140,6,6,,,20.3,,920,920,,,131,131,155,155,,,,,31.2
SHS,140  x  140 x 8,31.4,140,140,8,8,,,14.5,,1130,1130,,,161,161,194,194,,,,,40
SHS,140  x  140 x 10,38.1,140,140,10,10,,,11,,1310,1310,,,187,187,230,230,,,,,48.6
SHS,150  x  150 x 4,18,150,150,4,4,,,34.5,,808,808,,,108,108,125,125,,,,,22.9
